,id,construidos_m,utiles_m,habitaciones,baños,terraza,balcon,estado,orientacion,garaje,año_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
17,17,96.0,83.0,3.0,1.0,NO,NO,Buen estado,sur,NO,1900.0,SI,2,NO,NO,NO,Igualada,Igualada,e,109000,109000,Piso en venta en Centre
18,18,85.0,80.0,4.0,1.0,NO,SI,Buen estado,no_definido,NO,1967.0,SI,1,NO,NO,NO,Igualada,Ponent,e,119000,119000,Piso en venta en Av. pietat
19,19,90.0,86.0,3.0,2.0,SI,NO,Buen estado,sur,SI,2003.0,SI,2,SI,NO,NO,Igualada,Igualada,d,186495,192500,Piso en venta en Les Comes
20,20,335.0,300.0,3.0,2.0,SI,NO,Buen estado,oeste,SI,1998.0,SI,2,NO,SI,JardÃ­n,Igualada,Sesoliveres la Massa,NO,475000,475000,Chalet adosado en venta en calle la Segarra
21,21,141.0,121.0,3.0,2.0,SI,NO,Buen estado,sur,SI,1984.2057416267942,SI,1,SI,NO,NO,Igualada,Igualada,a,250000,250000,Piso en venta en Pla de Sant Magi
22,22,128.0,124.0,3.0,4.0,SI,NO,Buen estado,norte,NO,1952.0,SI,1,NO,SI,NO,Igualada,Igualada,f,280000,280000,Piso en venta en Llevant
23,23,90.0,77.0,3.0,1.0,NO,NO,Buen estado,norte,SI,1995.0,SI,3,SI,NO,NO,Igualada,Igualada,e,145000,145000,Piso en venta en Les Comes
24,24,110.0,107.0,4.0,2.0,SI,SI,Buen estado,este,NO,1976.0,SI,4,SI,SI,NO,Igualada,Igualada,e,160000,160000,Piso en venta en Pla de Sant Magi
25,25,100.0,81.0,4.0,1.0,SI,SI,Buen estado,sur,NO,1975.0,SI,2,SI,NO,NO,Igualada,Igualada,e,140000,140000,Piso en venta en Llevant
26,26,90.0,80.0,3.0,1.0,NO,SI,Buen estado,norte,SI,2001.0,SI,1,SI,SI,NO,Igualada,Igualada,e,138000,138000,Piso en venta en Ponent
27,27,200.0,173.0,4.0,3.0,SI,NO,Buen estado,norte,SI,2000.0,SI,2,NO,NO,NO,Igualada,Igualada,e,279000,279000,Casa o chalet independiente en venta en Centre
